Date,Price,Open,High,Low,Volume,Chg%
"Oct 31, 2023",1476.5,1504,1504,1474,16.32M,-0.58%
"Oct 30, 2023",1485.1,1463.25,1489.95,1461.9,11.66M,1.09%
"Oct 27, 2023",1469.15,1469.5,1478,1466.9,15.97M,0.39%
"Oct 26, 2023",1463.4,1491.25,1492,1460.25,27.78M,-2.21%
"Oct 25, 2023",1496.5,1521,1522.8,1491.45,14.16M,-0.63%
"Oct 23, 2023",1506.05,1523.5,1528.75,1500.1,11.19M,-1.10%
"Oct 20, 2023",1522.8,1505,1527,1505,10.55M,0.52%
"Oct 19, 2023",1514.95,1505.4,1526.25,1503.2,15.13M,-0.32%
"Oct 18, 2023",1519.75,1541.2,1541.2,1518.1,15.61M,-1.39%
"Oct 17, 2023",1541.2,1555.75,1555.75,1535,16.45M,0.76%
"Oct 16, 2023 ",1529.6,1531.5,1534.45,1520.5,8.93M,-0.40%
"Oct 13, 2023",1535.75,1540,1548.8,1529.95,19.87M,-0.91%
"Oct 12, 2023",1549.85,1536.1,1552,1531.6,11.01M,0.67%
"Oct 11, 2023",1539.6,1530.1,1542.15,1528.5,15.67M,0.97%
"Oct 10, 2023",1524.85,1520.55,1529,1515.2,16.63M,0.57%
"Oct 09, 2023",1516.25,1528,1530,1512,8.23M,-1.16%
"Oct 06, 2023",1534.05,1544,1545,1529.85,8.88M,-0.11%
"Oct 05, 2023",1535.75,1535.05,1551.55,1532.6,24.26M,0.41%
"Oct 04, 2023",1529.55,1495,1535,1489.25,27.32M,1.43%
"Oct 03, 2023",1508.05,1527,1527,1506,19.49M,-1.20%
"Sep 29, 2023",1526.3,1523.7,1535.45,1522.3,16.03M,0.17%
"Sep 28, 2023",1523.7,1534,1537.6,1518.35,27.68M,-0.21%
"Sep 27, 2023",1526.85,1523,1532.5,1515,19.67M,-0.70%
"Sep 26, 2023",1537.65,1525,1540,1525,13.79M,0.43%
"Sep 25, 2023",1531,1525,1540.7,1525,20.10M,0.09%
"Sep 22, 2023",1529.65,1559,1564.4,1523.75,30.85M,-1.53%
"Sep 21, 2023",1553.35,1553,1568.95,1537.05,36.42M,-0.66%
"Sep 20, 2023",1563.7,1599,1599,1560.4,57.74M,-4.01%
"Sep 18, 2023",1629.05,1653.75,1655,1626.1,18.53M,-1.97%
"Sep 15, 2023",1661.75,1650,1670,1650,86.71M,1.15%
"Sep 14, 2023",1642.9,1644.25,1650,1635.1,11.77M,-0.06%
"Sep 13, 2023",1643.9,1631.3,1651.6,1628.6,23.21M,0.43%
"Sep 12, 2023",1636.9,1640,1642.9,1625.05,19.52M,0.31%
"Sep 11, 2023",1631.8,1628.9,1636.5,1624,15.79M,0.52%
"Sep 08, 2023",1623.4,1608.3,1632.9,1607.6,17.25M,0.78%
"Sep 07, 2023",1610.85,1595.5,1614,1587.15,17.10M,0.96%
"Sep 06, 2023",1595.5,1576.8,1600,1574.9,28.16M,1.31%
"Sep 05, 2023",1574.9,1588.4,1588.4,1570.6,19.36M,-0.61%
"Sep 04, 2023",1584.55,1590,1591.45,1574.9,12.54M,0.63%
"Sep 01, 2023",1574.7,1571,1579,1559.35,21.61M,0.21%
"Aug 31, 2023",1571.45,1579,1583.15,1563.1,50.04M,-0.46%
"Aug 30, 2023",1578.7,1603.95,1603.95,1573.7,14.04M,-0.73%
"Aug 29, 2023",1590.3,1589.7,1592.65,1581.45,17.77M,0.80%
"Aug 28, 2023",1577.75,1561.5,1582.65,1561.5,14.43M,1.04%
"Aug 25, 2023",1561.5,1574.55,1577.5,1558.4,15.03M,-1.13%
"Aug 24, 2023",1579.3,1593.3,1596.2,1576.15,21.57M,-0.46%
"Aug 23, 2023",1586.6,1580,1590.55,1573.25,18.25M,0.25%
"Aug 22, 2023",1582.7,1596.35,1598,1580,16.14M,-0.43%
"Aug 21, 2023",1589.5,1600.5,1600.5,1587,10.92M,-0.08%
"Aug 18, 2023",1590.75,1587.55,1596.3,1585.5,12.82M,-0.41%
"Aug 17, 2023",1597.3,1597.6,1609.9,1594,26.44M,-0.55%
"Aug 16, 2023",1606.2,1583.1,1609.65,1581.3,17.07M,-0.29%
"Aug 14, 2023",1610.9,1611,1615,1600.25,15.65M,-0.49%
"Aug 11, 2023",1618.8,1638.4,1638.4,1616.2,14.11M,-1.04%
"Aug 10, 2023",1635.85,1647.05,1654.25,1631,25.39M,-0.89%
"Aug 09, 2023",1650.5,1653,1654.5,1631.1,16.68M,0.04%
"Aug 08, 2023",1649.9,1651.7,1655.6,1642.05,21.89M,-0.08%
"Aug 07, 2023",1651.25,1663.1,1663.1,1647.55,14.15M,-0.06%
"Aug 04, 2023",1652.2,1635.15,1656.5,1629.25,18.69M,1.45%
"Aug 03, 2023",1628.65,1640,1651.35,1623,28.84M,-0.72%
"Aug 02, 2023",1640.5,1642,1651.5,1633.15,14.06M,-1.31%
"Aug 01, 2023",1662.25,1654.45,1667.45,1650,17.70M,0.67%
"Jul 31, 2023",1651.2,1650.05,1656.8,1638.7,17.28M,0.47%
"Jul 28, 2023",1643.5,1661.5,1668.9,1641.1,20.51M,-1.77%
"Jul 27, 2023",1673.15,1699.9,1703,1667.45,29.87M,-1.04%
"Jul 26, 2023",1690.7,1699.6,1699.6,1688,12.40M,-0.35%
"Jul 25, 2023",1696.6,1684.65,1699,1678.4,28.00M,1.08%
"Jul 24, 2023",1678.4,1678.5,1684.65,1670.1,16.09M,0.16%
"Jul 21, 2023",1675.75,1680,1689.8,1673.25,21.08M,-0.77%
"Jul 20, 2023",1688.75,1681.15,1692,1680,28.11M,0.22%
"Jul 19, 2023",1685.1,1681.1,1688.75,1675,16.47M,0.45%
"Jul 18, 2023",1677.5,1698,1704,1670,40.54M,-0.08%
"Jul 17, 2023 ",1678.9,1650,1682,1633,24.63M,2.09%
"Jul 14, 2023",1644.5,1653.6,1653.6,1635,12.36M,0.21%
"Jul 13, 2023",1641.1,1656.7,1657.45,1638.05,20.96M,0.50%
"Jul 12, 2023",1632.95,1655.35,1666.3,1627.15,35.48M,-0.94%
"Jul 11, 2023",1648.4,1663,1676,1645.5,25.34M,-0.49%
"Jul 10, 2023",1656.45,1661,1676.75,1649.7,19.20M,-0.24%
"Jul 07, 2023",1660.4,1665,1675,1656.3,9.96M,-0.87%
"Jul 06, 2023",1675,1673,1687.85,1660.4,26.08M,0.10%
"Jul 05, 2023",1673.3,1716.25,1720,1668.55,18.58M,-3.18%
"Jul 04, 2023",1728.2,1723.45,1747,1713.8,19.40M,0.49%
"Jul 03, 2023",1719.8,1712.5,1757.5,1710,22.05M,1.08%
"Jun 30, 2023",1701.4,1704,1708.8,1683.25,20.35M,1.51%
"Jun 28, 2023",1676.15,1670,1679.9,1660.5,29.78M,1.06%
"Jun 27, 2023",1658.6,1642.95,1672.9,1638.55,16.92M,1.41%
"Jun 26, 2023",1635.55,1645,1650.75,1628.7,8.07M,-0.48%
"Jun 23, 2023",1643.5,1637.55,1659.9,1634.05,10.67M,-0.01%
"Jun 22, 2023",1643.6,1640,1657.55,1639.05,28.30M,0.49%
"Jun 21, 2023",1635.6,1616,1637.25,1611,12.15M,1.75%
"Jun 20, 2023",1607.5,1604.15,1611,1590.65,10.00M,0.21%
"Jun 19, 2023",1604.15,1611,1614.25,1598.35,12.41M,0.09%
"Jun 16, 2023",1602.75,1587.15,1609.2,1584,7.89M,1.31%
"Jun 15, 2023",1582.05,1604,1605.95,1579,17.69M,-1.23%
"Jun 14, 2023",1601.75,1610.45,1612,1600.2,10.06M,-0.11%
"Jun 13, 2023",1603.5,1590.1,1609,1590.1,13.96M,0.17%
"Jun 12, 2023",1600.8,1612.55,1615.8,1599.45,6.70M,-0.61%
"Jun 09, 2023",1610.6,1615.9,1618.5,1607,9.11M,0.12%
"Jun 08, 2023",1608.7,1603.25,1626,1603.25,18.70M,0.06%
"Jun 07, 2023",1607.7,1603.45,1612.55,1596,12.47M,0.52%
"Jun 06, 2023",1599.4,1607.65,1609.85,1592.25,16.09M,-0.31%
"Jun 05, 2023",1604.4,1614.5,1616.5,1602.45,9.35M,-0.13%
"Jun 02, 2023",1606.5,1612.45,1614.8,1601,8.93M,0.16%
"Jun 01, 2023",1604,1619.9,1619.9,1600,25.18M,-0.43%
"May 31, 2023",1610.85,1629.9,1634.95,1604.65,21.67M,-1.58%
"May 30, 2023",1636.75,1633.6,1642.65,1628.55,18.56M,0.08%
"May 29, 2023",1635.5,1628.5,1641,1624.85,10.91M,1.22%
"May 26, 2023",1615.8,1619,1619,1602.25,13.32M,0.39%
"May 25, 2023",1609.6,1615.7,1620.05,1597.35,14.89M,-0.38%
"May 24, 2023",1615.8,1627.55,1634.75,1613.6,16.79M,-1.31%
"May 23, 2023",1637.2,1649,1649.6,1633.45,11.24M,-0.23%
"May 22, 2023",1641.05,1645,1652.9,1632.7,14.17M,-0.36%
"May 19, 2023",1646.9,1648,1650,1631.55,15.23M,0.12%
"May 18, 2023",1645,1648,1653.95,1640,24.82M,0.40%
"May 17, 2023",1638.45,1650,1650,1625.35,15.23M,-0.54%
"May 16, 2023 ",1647.3,1671.8,1671.8,1644,16.36M,-1.70%
"May 15, 2023",1675.8,1672,1680.75,1665.1,9.26M,0.48%
"May 12, 2023",1667.8,1647,1672.8,1644.25,11.24M,0.88%
"May 11, 2023",1653.2,1665.15,1688,1649.25,17.87M,0.07%
"May 10, 2023",1652.1,1644.5,1654.65,1633.1,23.17M,0.46%
"May 09, 2023",1644.5,1649.9,1656,1639.95,21.84M,0.00%
"May 08, 2023",1644.45,1635,1650.35,1630,18.62M,1.16%
"May 05, 2023",1625.65,1639,1660.95,1622.1,31.39M,-5.91%
"May 04, 2023",1727.8,1687.1,1734.45,1687.1,28.43M,2.05%
"May 03, 2023",1693.15,1684.95,1696,1679.65,14.70M,0.35%
"May 02, 2023",1687.25,1688.7,1699,1682,16.11M,-0.02%
"Apr 28, 2023",1687.6,1684.7,1691,1670,13.96M,0.39%
"Apr 27, 2023",1681,1670.5,1685.25,1665.85,23.90M,0.55%
"Apr 26, 2023",1671.8,1660,1675,1655,13.70M,0.46%
"Apr 25, 2023",1664.15,1687.7,1687.7,1661.9,25.18M,-1.42%
"Apr 24, 2023",1688.15,1687,1691.45,1674.1,17.84M,0.81%
"Apr 21, 2023",1674.6,1669,1676.95,1663.25,10.06M,0.16%
"Apr 20, 2023",1671.9,1671.7,1677.45,1666.4,16.46M,0.37%
"Apr 19, 2023",1665.7,1665,1670.3,1657.15,12.37M,0.37%
"Apr 18, 2023",1659.6,1670,1677.25,1656.4,14.82M,-0.42%
"Apr 17, 2023",1666.65,1720,1720,1653.3,16.20M,-1.52%
"Apr 13, 2023",1692.45,1688.3,1697.05,1678.15,17.67M,0.45%
"Apr 12, 2023",1684.9,1668,1688.2,1667.8,13.48M,1.30%
"Apr 11, 2023",1663.3,1659,1669.4,1651.1,21.18M,0.29%
"Apr 10, 2023",1658.45,1663.25,1671,1654,15.91M,-0.47%
"Apr 06, 2023",1666.35,1648.55,1669.2,1647.1,22.32M,0.76%
"Apr 05, 2023",1653.75,1618.6,1656,1616,21.68M,2.68%
"Apr 03, 2023",1610.55,1607.55,1615.7,1602.75,20.01M,0.06%
"Mar 31, 2023",1609.55,1595.6,1612.95,1592.4,17.36M,1.37%
"Mar 29, 2023",1587.8,1584,1602,1581.9,19.88M,0.48%
"Mar 28, 2023",1580.2,1565.7,1582.9,1564.1,19.64M,0.81%
"Mar 27, 2023",1567.45,1562.2,1579.45,1558.9,15.94M,0.44%
"Mar 24, 2023",1560.65,1560,1573.9,1554.95,15.74M,-0.16%
"Mar 23, 2023",1563.15,1567.75,1590.35,1558.55,14.18M,-0.80%
"Mar 22, 2023",1575.8,1584,1586.05,1565.3,7.09M,-0.23%
"Mar 21, 2023",1579.45,1571.95,1582.5,1556.2,16.53M,1.13%
"Mar 20, 2023",1561.75,1567.95,1568.1,1545.4,13.25M,-0.69%
"Mar 17, 2023",1572.65,1557.5,1579.2,1540,11.48M,1.34%
"Mar 16, 2023",1551.9,1539,1559.1,1532.05,10.88M,0.65%
"Mar 15, 2023",1541.9,1578,1582.9,1536.6,18.63M,-1.44%
"Mar 14, 2023",1564.35,1570.25,1583.6,1559.3,16.59M,-0.27%
"Mar 13, 2023",1568.55,1587.9,1603.8,1564.95,13.22M,-1.27%
"Mar 10, 2023",1588.65,1610.45,1613.75,1585,13.69M,-2.58%
"Mar 09, 2023",1630.7,1629.95,1645.95,1627,10.35M,0.01%
"Mar 08, 2023",1630.55,1620,1639.5,1620,10.05M,0.20%
"Mar 06, 2023",1627.3,1620,1639.45,1618.05,13.50M,0.71%
"Mar 03, 2023",1615.9,1596,1620,1588,7.49M,1.98%
"Mar 02, 2023",1584.45,1594,1605.95,1582,8.70M,-0.85%
"Mar 01, 2023",1598.05,1612,1613,1595.75,7.07M,-0.10%
"Feb 28, 2023",1599.6,1592,1605.3,1588.7,9.50M,0.42%
"Feb 27, 2023",1592.9,1585.9,1599,1577.3,7.16M,0.25%
"Feb 24, 2023",1588.95,1617.9,1617.9,1585.2,8.53M,-0.89%
"Feb 23, 2023",1603.25,1613,1618.85,1592.1,13.94M,-0.68%
"Feb 22, 2023",1614.2,1639,1641.95,1609.05,5.18M,-1.96%
"Feb 21, 2023",1646.5,1640,1662.35,1634,6.19M,0.37%
"Feb 20, 2023",1640.35,1660,1669.45,1634.8,4.04M,-0.94%
"Feb 17, 2023",1655.9,1661,1668.15,1642.95,4.48M,-0.50%
"Feb 16, 2023",1664.25,1673.2,1681.9,1661,4.03M,-0.36%
"Feb 15, 2023",1670.3,1678,1678,1656.75,5.72M,-0.20%
"Feb 14, 2023",1673.7,1665,1677.5,1657.95,5.45M,0.93%
"Feb 13, 2023",1658.35,1655,1661.75,1644.55,2.87M,0.08%
"Feb 10, 2023",1657.1,1648.8,1658.5,1642.2,4.09M,0.40%
"Feb 09, 2023",1650.55,1660,1661.65,1635.55,5.89M,-0.21%
"Feb 08, 2023",1654,1654.25,1668.2,1650,4.22M,-0.01%
"Feb 07, 2023",1654.2,1659.4,1664.9,1632.6,5.13M,0.15%
"Feb 06, 2023",1651.75,1660,1669.4,1646.2,5.58M,-0.43%
"Feb 03, 2023",1658.8,1611,1660.5,1607,7.21M,3.46%
"Feb 02, 2023",1603.35,1608.1,1624.5,1588.75,8.75M,-1.49%
"Feb 01, 2023",1627.55,1624,1665,1606,8.65M,1.50%
"Jan 31, 2023",1603.5,1619.7,1622.7,1595,9.30M,-0.66%
"Jan 30, 2023",1614.15,1595,1625.3,1582,9.26M,-0.10%
"Jan 27, 2023",1615.8,1632,1637,1589.95,17.59M,-1.99%
"Jan 25, 2023",1648.65,1691.4,1692.95,1645.3,7.35M,-2.76%
"Jan 24, 2023",1695.5,1675.05,1702.4,1675,12.49M,1.34%
"Jan 23, 2023",1673.1,1666.25,1682.6,1661.4,7.72M,0.73%
"Jan 20, 2023",1660.95,1644.1,1669,1643.4,9.42M,1.02%
"Jan 19, 2023",1644.1,1637,1650,1633,5.59M,0.42%
"Jan 18, 2023",1637.3,1605,1641.6,1599.7,9.55M,1.77%
"Jan 17, 2023",1608.9,1589.8,1611,1577.5,5.39M,1.49%
"Jan 16, 2023",1585.3,1615,1621.3,1580.3,7.37M,-0.96%
"Jan 13, 2023",1600.65,1598.75,1609.9,1586,4.62M,0.08%
"Jan 12, 2023",1599.4,1587.8,1603.9,1584.15,4.63M,0.53%
"Jan 11, 2023",1590.9,1567.95,1598,1560,7.60M,1.44%
"Jan 10, 2023",1568.3,1600,1600,1565,8.19M,-1.83%
"Jan 09, 2023",1597.5,1596,1611.55,1590,5.36M,0.19%
"Jan 06, 2023",1594.4,1602,1609.1,1578.2,4.55M,-0.33%
"Jan 05, 2023",1599.7,1615,1618.05,1589.4,5.47M,-0.64%
"Jan 04, 2023",1610.05,1635,1645.75,1607,5.18M,-1.79%
"Jan 03, 2023",1639.35,1622.2,1643,1622.2,4.19M,0.65%
"Jan 02, 2023",1628.7,1627,1639.75,1618.55,2.19M,0.03%
"Dec 30, 2022",1628.15,1645,1645,1620,3.56M,-0.80%
"Dec 29, 2022",1641.3,1620.1,1643.5,1611,5.51M,0.71%
"Dec 28, 2022",1629.8,1623.1,1633,1623.1,4.35M,-0.08%
"Dec 27, 2022",1631.1,1633,1635.95,1613.5,3.96M,0.10%
"Dec 26, 2022",1629.45,1599.5,1639,1590,4.95M,1.99%
"Dec 23, 2022",1597.65,1587,1604.15,1585.45,5.35M,-0.89%
"Dec 22, 2022",1612.05,1622.2,1627.5,1609,4.87M,-0.34%
"Dec 21, 2022",1617.6,1641,1644.8,1606.55,4.63M,-0.97%
"Dec 20, 2022",1633.4,1620.2,1636.4,1620.2,3.59M,-0.69%
"Dec 19, 2022",1644.75,1644,1646.65,1626.2,4.80M,0.31%
"Dec 16, 2022",1639.65,1620.05,1645.1,1609,7.32M,0.48%
"Dec 15, 2022",1631.8,1657.05,1669.4,1627.05,9.09M,-1.83%
"Dec 14, 2022",1662.25,1653,1665.5,1650,7.11M,0.85%
"Dec 13, 2022",1648.3,1650,1657,1645,8.52M,0.28%
"Dec 12, 2022",1643.75,1625,1653.6,1621.4,7.22M,0.78%
"Dec 09, 2022",1631.05,1626,1634.85,1620,5.98M,0.71%
"Dec 08, 2022",1619.5,1610,1626,1605,7.40M,0.56%
"Dec 07, 2022",1610.45,1614.15,1618.6,1604.45,5.84M,-0.04%
"Dec 06, 2022",1611.15,1601,1613.7,1600,6.18M,-0.11%
"Dec 05, 2022",1612.95,1609.95,1614.6,1596.2,5.80M,0.36%
"Dec 02, 2022",1607.1,1610,1618.6,1605.15,3.91M,-0.77%
"Dec 01, 2022",1619.5,1622,1637,1615,10.22M,0.69%
"Nov 30, 2022",1608.45,1597.1,1612.9,1597.1,7.59M,0.66%
"Nov 29, 2022",1597.85,1597.25,1612.35,1592.85,6.32M,-0.15%
"Nov 28, 2022",1600.25,1602.9,1607.45,1594.05,8.05M,-1.08%
"Nov 25, 2022",1617.65,1629.7,1631.7,1614.1,4.21M,-0.46%
"Nov 24, 2022",1625.15,1605.95,1632,1599.15,8.60M,1.63%
"Nov 23, 2022",1599.15,1605,1605,1594,5.09M,0.26%
"Nov 22, 2022",1595,1600,1604.35,1591,4.27M,-0.15%
"Nov 21, 2022",1597.35,1607.65,1612,1590.2,4.17M,-1.03%
"Nov 18, 2022",1613.9,1621,1623,1605.25,5.23M,-0.26%
"Nov 17, 2022",1618.15,1618.1,1631.55,1613.9,6.05M,-0.90%
"Nov 16, 2022",1632.9,1618.65,1642,1612,6.79M,0.86%
"Nov 15, 2022",1619,1623.15,1623.15,1605.25,5.52M,0.24%
"Nov 14, 2022",1615.05,1612,1628,1598,9.60M,0.24%
"Nov 11, 2022",1611.15,1545,1637,1538,28.36M,5.67%
"Nov 10, 2022",1524.75,1497.1,1527,1495.05,6.39M,1.09%
"Nov 09, 2022",1508.35,1515.05,1517.95,1504,4.63M,-0.03%
"Nov 07, 2022",1508.8,1510,1512,1492.1,4.92M,0.78%
"Nov 04, 2022",1497.15,1503.2,1516.1,1489.6,5.41M,-0.69%
"Nov 03, 2022",1507.55,1497.7,1520.25,1497,5.17M,-0.44%
"Nov 02, 2022",1514.2,1517,1528.25,1511.6,6.36M,0.06%
"Nov 01, 2022",1513.25,1503.5,1529,1498.9,9.54M,1.11%
"Oct 31, 2022",1496.7,1472,1498,1467.25,6.42M,2.61%
"Oct 28, 2022",1458.7,1450,1467,1447.4,5.24M,0.30%
"Oct 27, 2022",1454.4,1464.5,1467.35,1451.25,7.97M,0.24%
"Oct 25, 2022",1450.9,1461.1,1467.8,1445,6.89M,-0.69%
"Oct 24, 2022",1461.05,1454.3,1463,1454.3,1.08M,1.56%
"Oct 21, 2022",1438.6,1452,1457.65,1434,5.25M,-0.70%
"Oct 20, 2022",1448.8,1444,1452.9,1442.5,3.95M,-0.68%
"Oct 19, 2022",1458.65,1464,1477.4,1453.4,6.48M,1.03%
"Oct 18, 2022",1443.85,1458.05,1462.9,1440,5.28M,-0.19%
"Oct 17, 2022",1446.55,1435,1457.6,1427,9.21M,0.52%
"Oct 14, 2022",1439,1417,1447,1415.25,6.42M,3.26%
"Oct 13, 2022",1393.6,1402.05,1406.25,1384,7.36M,-1.15%
"Oct 12, 2022",1409.8,1403.2,1414.85,1397.3,4.61M,0.65%
"Oct 11, 2022",1400.65,1401.1,1417,1399.45,7.26M,-1.01%
"Oct 10, 2022",1415,1408,1426,1398.2,6.55M,-1.10%
"Oct 07, 2022",1430.8,1430.25,1434.95,1420.35,6.65M,-0.43%
"Oct 06, 2022",1437,1459.95,1462.6,1434.2,6.27M,-1.10%
"Oct 04, 2022",1453,1429.5,1458,1426.15,5.77M,2.82%
"Oct 03, 2022",1413.2,1409.95,1417.85,1401.1,5.77M,-0.57%
"Sep 30, 2022",1421.35,1378.8,1431.45,1365,7.89M,2.82%
"Sep 29, 2022",1382.35,1396.3,1402.2,1378.8,7.21M,-0.52%
"Sep 28, 2022",1389.55,1406,1410.6,1385.9,5.91M,-1.72%
"Sep 27, 2022",1413.85,1432.4,1440,1407,6.32M,-0.90%
"Sep 26, 2022",1426.65,1425.35,1436.45,1418,4.46M,-1.35%
"Sep 23, 2022",1446.15,1472.35,1475,1437,7.90M,-2.68%
"Sep 22, 2022",1486,1502,1510.15,1482.75,6.02M,-2.13%
"Sep 21, 2022",1518.35,1508,1521.5,1505,4.54M,-0.15%
"Sep 20, 2022",1520.7,1514,1524,1509.9,5.39M,1.20%
"Sep 19, 2022",1502.6,1489,1514,1480,6.04M,0.66%
"Sep 16, 2022",1492.75,1503.1,1514.7,1483,10.28M,-1.84%
"Sep 15, 2022",1520.7,1530,1540.95,1512,6.77M,-0.52%
"Sep 14, 2022",1528.65,1494.05,1538.9,1492.35,10.11M,1.03%
"Sep 13, 2022",1513.1,1498.9,1515.9,1498.55,6.50M,1.31%
"Sep 12, 2022",1493.55,1500,1504,1490,5.54M,-0.34%
"Sep 09, 2022",1498.6,1496.2,1509,1494.05,7.56M,0.07%
"Sep 08, 2022",1497.6,1490.1,1500,1482.15,5.58M,1.03%
"Sep 07, 2022",1482.3,1471.3,1490,1471.3,4.89M,-0.47%
"Sep 06, 2022",1489.35,1498.9,1506.65,1486.45,6.12M,-0.38%
"Sep 05, 2022",1495.05,1486.1,1499,1484.1,6.07M,0.64%
"Sep 02, 2022",1485.5,1472.15,1490.5,1465.2,6.02M,0.91%
"Sep 01, 2022",1472.15,1464.75,1489.45,1459,11.20M,-0.94%
"Aug 30, 2022",1486.1,1446.45,1489.95,1443.1,5.07M,3.24%
"Aug 29, 2022",1439.4,1437,1446,1428.6,4.33M,-1.75%
"Aug 26, 2022",1465.1,1472.05,1481.8,1461.2,3.85M,0.02%
"Aug 25, 2022",1464.85,1479.9,1486.8,1457,5.91M,-0.54%
"Aug 24, 2022",1472.85,1461.9,1475.5,1459.2,6.73M,0.48%
"Aug 23, 2022",1465.8,1453.3,1475.95,1450.4,7.48M,-0.31%
